153,VARSHA PRINT,"106, ARIHANT TEXTILE MARKET",,
154,METALLICA SILK MILLS,"4001, SOMESHWAR TEXTILE MARKET",24ATTPR6242B1ZK,
155,A.S TEXTILE,"6010, SHREE MAHAVEER TEXTILE MARKET",24ASDPR3030J1ZX,
156,PICASSA SAREE,"A-409, L.B. APPARTMENT, SALABATPURA",24CPOPP0708R1Z9,
157,PARAS SILK MILLS,,24OCPP3891E1ZY,9737281254
158,SHREE JEET FABRICS,"302, ANUPAM TEXTILE MARKET",24ACQPG4529G1ZL,
159,RAMDEV SILK MILLS,"F-3428 TO 3431, 3rd FLOOR, GLOBAL TEXTILES MARKET",24CCFPB1042N1ZY,
160,GOYMAA TEX FAB,"J-5679, GLOBAL TEXTILE MARKET",,
161,LUCKY FABRICS,J-2692 TO 2698 GLOBAL TEXTILE MARKET,,
162,SHEETAL FASHION,"3013, NEW RATAN MARKET",24AIXPL5781AI10,
163,ROYAL CREATION,"L-66, RADHEY MARKET",,
164,HARI TEX MANUFACTURE & TRADERS,"1410, GLOBAL TEXTILE MARKET",24CFQPC0996E1ZE,
165,WINDSON TEX,"4097 TO 4108, KOHINOOR MARKET",24BSDPK2438Q3ZD,
166,SHREE VINAYAK INTERNATIONAL,"2111, SHIV SHAKTI MARKET",,
167,R S TRADERS,"4/2645, AGRAWAL HOUSE, SHETRANJWAD, BEGAMPURA",24AIFPA1868B1ZV,
168,EVERGREEN CREATION,"512, ABHISHEK MARKET",24AAJHB0092A1Z0,
169,KHAITAN FASHION,"C-4444, KOHINOOR MARKET",,
170,KBJ TEXTILES,"A-658, KOHINOOR MARKET",24BKSPP6229D1ZX,
171,MATESHWARI PRINT,"B-3172, RAGHUKUL MARKET, RING ROAD",,
172,RANGPREET,"G-16, KOHINOOR TEXTILE HOUSE",24AAJCC9508P1Z3,
173,AADITI SAREES,"807, TRADE CENTER, B/H ASHOKA TOWER",,
174,AVADH SILK MILLS,"2014, SAI KRUPA MARKET",24BDTPK9088D1Z1,
175,DIP JYOTI,"3032, SHREE MAHAVEER MARKET",,
176,SHREE KRISHNA SILK MILLS,"425, MILLENNIUM-2",24AACHP4640R1ZS,
177,GOPAL FAB TEX,"524, MILLENNIUM -2",24AMNPR4889F1ZF,
178,VARUN SILK MILLS,"J-1751, RKTM",24AFBPG4263M1Z1,
179,VEERZEE SILK,"A-3002, RITURAJ TEXTILE MARKET",,
180,MEWAR KESARI CREATION,"28, SHREE KUBERJI SILK MARKET, B/H BOMBAY MARKET",24AOAPR0518N1ZX,
181,NUPUR FASHION,"5006, HTC MARKET",,
182,MANTHAN SILK MILLS,"516, ABHINANDAN MARKET",,
183,HITANSHI CREATION,"5139, MILLENNIUM -4",24BFBPS4557R1ZQ,
184,OM SAI FABRICS,"A-103, UDHNA COMMERCIAL COMPLEX",24BGLPP2543M1Z1,
185,KASTURI PRINT,"681, ABHISHEK MARKET",24AKCPM7922M1ZW,
186,AMARDEEP INTERNATIONAL,"C-111, NEW T.T MARKET",,
187,VINAYAK FASHION,"3009, VTM",,
188,NEEV CREATION,"4004 TO 4011, GAUTAM TEXTILE MARKET, RING ROAD",24BVNPA4474K1ZD,
189,SHREE KRISHNA PREMA FASHION,"607, 6th FLOOR, SHYAM SANGINI TEXTILE MARKET, PUNA KUMBHARIYA",24ACCPJ9803C1Z1,
190,GOKUL FAB,"5016 TO 5024, 5th FLOOR, SHREE MAHAVIR MARKET, PUNA KUMBHARIYA",24BMHPB9578E1ZY,
191,SURYA SAREES PVT LTD,"C-3485, KOHINOOR TEXTILE MARKET",,
192,VANDANA SALES CORPORATION,"M-2275, SURAT TEXTILE MARKET",,
193,MANVEEER TEXTILE,"13, SHREE SAI PLAZA, NEAR PRAMUKH PARK, DINDOLI",24DGYPS2766C1ZV,
194,NAG MANI,"C-37, RAJ TEXTILE TOWER,SAROLI",,
195,AMBIKA SILK MILLS,"2078, VTM",,
196,SHREE KRISHNA IMPEX,"125, MILLENNIUM -2",,
197,SARJU CREATION,"1047, SAI RAM MARKET",,
198,LALAN SHREE PRINTS,"1081, ABHISHEK MARKET",24AHKPK0097N1ZZ,
199,ANJANI FASHION,"1021, JAY RADHE MARKET",24ABMFA1478M1Z3,
200,RAKHI ENTERPRISE,"P-1098, STM",,
201,SUNSHINE FABRICS,"4057, KUBERJI WORLD, SAROLI",,
202,SHREE CHAMUNDA FAB,"222, SAGAR TEXTILE MARKET",,
203,SAMYAK FAB,"314, KOHINOOR HOUSE",24BACPS4295L1Z8,
204,SHIVOY SAREE,"C-3282, RAGHUKUL MARKET",24AVOPP5873H2ZZ,
205,L D FASHION,"523 TO 530, SILK PLAZA MARKET,",24AKVPG8225C1Z6,
206,DEV DARSHAN PRINT,"8083, MILLENNIUM-4",24AAVPB5880A1ZT,
207,SHREE LAXMI CREATION,"R-2115, STM RING ROAD",24AEFFS2619C1ZE,
208,HARSHINI SAREES,"A-6010, ASHIRWAD TEXTILE MARKET, SAROLI",24AASCS8222P1ZL,
209,SAWARIYA TRADING,"B-321, CAPITAL SQUARE, GODADRA",24ASIPC4365J1ZR,
210,DEV PRINTS,"1774, MILLENNIUM-1",24ABTPA0707A1ZE,
211,SHREE SHANTINATH SAREES,"5, SHREE KUBERJI SILK MARKET, B/H NEW BOMBAY MARKET",,
212,MADHUR PRINTS,"B-102, SHREE KUBERJI TEXTILE PARK, B/H JAPAN MARKET",24ABVPK6169N1ZR,
213,ROOP SHREE CREATION,"508 TO 513, CAR PARKING, STM",,
214,SHREE HARI CREATION,"750, ABHISHEK MARKET",,
215,GRACE EXPORTS,"2205-B, ROAD NO.2, SACHIN GIDC,",24AALFG3738L1Z3,
216,SHREE MAJEESA SILK MILL,"5144, RKTM",,
217,LAXMI FASHION,"723, ABHISHEK TEXTILE MARKET",,
218,BHAKTI CREATION,"111, SHIV SHAKTI IND, NR. MILLENIUM 4",24CURPP2532F1ZJ,
219,JASHBEER FASHION,"C-2433,KOHINOOR MARKET",24AANFJ2466N1ZV,
220,V-MORE FAB,"1073, T.T MARKET",24AERPJ5473P1ZP,
221,SHREE SHYAM PRINTS,"B-2182, RAGHUKUL MARKET",24AGQPG3068G1ZD,
